                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5945,                 4.5297,                 4.2013,                0.00222,                0.04017,                0.00429,                0.00113,                 3.6132,                  4.941,                 4.6628,              0.0033292,              0.0033292,              0.0033292
                      2,                 3.4549,                 4.2816,                 4.0656,                0.52894,                0.04791,                0.02405,                0.00739,                 3.5419,                 5.5043,                 4.0806,              0.0066461,              0.0066461,              0.0066461
                      3,                 3.0784,                 3.9766,                 3.6379,                0.18937,                0.15539,                0.02272,                0.00486,                 3.0633,                 7.6833,                 3.4503,              0.0099464,              0.0099464,              0.0099464
                      4,                 2.7876,                 3.7085,                 3.2393,                 0.5814,                0.09726,                0.08583,                0.02924,                 2.8289,                 3.8053,                 3.0757,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.5335,                 3.5221,                 2.9588,                0.23125,                0.18649,                0.06542,                0.01679,                  2.717,                 3.5867,                 2.9952,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.3478,                 3.2959,                 2.7874,                0.48678,                0.17309,                0.14237,                0.04627,                 2.4449,                 3.5636,                 2.7765,               0.009901,               0.009901,               0.009901
                      7,                 2.1915,                 3.1145,                 2.5958,                0.19023,                 0.4185,                0.16357,                0.05542,                 2.2922,                 3.5133,                 2.5954,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.1014,                 2.9441,                 2.5038,                0.25615,                 0.3024,                0.08667,                0.02963,                 2.7693,                 8.1123,                 3.0621,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.0133,                 2.7867,                 2.4018,                0.20034,                0.43259,                0.20148,                0.07818,                 2.2727,                 6.2718,                 2.5486,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.9671,                 2.6194,                 2.3231,                0.23729,                0.46589,                0.25197,                0.10832,                 2.0752,                 4.0782,                 2.3882,               0.009802,               0.009802,               0.009802
                     11,                 1.9138,                 2.5523,                 2.2855,                0.28277,                0.52855,                0.29958,                0.12131,                 2.0215,                 3.7828,                 2.3096,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.8806,                 2.4714,                 2.2569,                0.23891,                0.15894,                0.15736,                0.06092,                 2.4326,                 3.7487,                 2.7397,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.8366,                 2.3824,                 2.2233,                0.41051,                 0.4452,                0.39239,                0.16894,                 1.9754,                 2.7156,                 2.2736,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.8276,                  2.353,                 2.1921,                0.31986,                0.57188,                0.40563,                0.17704,                 1.9375,                 2.8297,                  2.252,               0.009703,               0.009703,               0.009703
                     15,                 1.7834,                 2.2884,                  2.156,                0.36459,                0.47851,                0.38202,                0.15583,                 2.0019,                 3.0641,                 2.3085,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.7754,                 2.2622,                  2.156,                0.39748,                0.54175,                0.44295,                0.19853,                 1.8573,                  2.581,                 2.1425,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.7566,                 2.2154,                 2.1231,                0.35379,                  0.614,                0.41927,                 0.1877,                 1.8831,                 2.8469,                 2.2622,              0.0096288,              0.0096288,              0.0096288
                     18,                  1.741,                 2.1938,                 2.1119,                0.30249,                0.66827,                0.45974,                0.20609,                 1.8335,                 3.1406,                 2.1427,               0.009604,               0.009604,               0.009604
                     19,                 1.7178,                 2.1467,                 2.0741,                0.30524,                0.46504,                0.32508,                0.13555,                 2.0243,                 2.6393,                 2.3721,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.7107,                 2.1217,                 2.0764,                0.54767,                0.36507,                0.36442,                0.15955,                 2.0229,                 2.6227,                 2.3828,              0.0095545,              0.0095545,              0.0095545
                     21,                  1.696,                 2.0681,                 2.0516,                0.57094,                0.48703,                0.48625,                0.21687,                  1.868,                 2.4465,                  2.164,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.7105,                 2.0888,                 2.0608,                0.58434,                0.49849,                0.47426,                0.20092,                   1.86,                 2.5183,                 2.1932,               0.009505,               0.009505,               0.009505
                     23,                  1.685,                 2.0486,                 2.0421,                0.60588,                 0.3332,                0.36907,                0.15028,                  2.148,                 2.5876,                 2.4952,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.6875,                 2.0399,                 2.0201,                0.41511,                0.49237,                0.42474,                0.17602,                  2.055,                 2.7769,                 2.3979,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.6761,                 2.0214,                  2.022,                 0.4441,                 0.5268,                0.49682,                 0.2217,                 1.8982,                 2.1966,                  2.222,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.6478,                 1.9832,                 1.9861,                0.42756,                0.62361,                0.50437,                0.22755,                 1.7912,                 2.1915,                 2.0679,               0.009406,               0.009406,               0.009406
                     27,                 1.6344,                 1.9759,                 1.9926,                0.52825,                0.51071,                0.47718,                0.20401,                 1.8843,                 2.1891,                 2.2187,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.6286,                 1.9482,                 1.9815,                0.40894,                0.60892,                0.50136,                0.21962,                 1.9102,                  2.578,                 2.2435,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.6226,                 1.9411,                  1.978,                0.39538,                 0.5813,                0.45098,                0.21223,                 1.8584,                  2.959,                 2.2449,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.6237,                 1.9364,                 1.9728,                0.40384,                0.64747,                0.49324,                0.22816,                 1.8406,                  2.193,                 2.0979,               0.009307,               0.009307,               0.009307
                     31,                 1.6305,                 1.9274,                 1.9703,                0.63945,                0.51587,                0.55282,                0.24794,                 1.8115,                 2.0238,                 2.1267,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.6198,                 1.9151,                  1.979,                0.42862,                0.60828,                0.55968,                 0.2603,                 1.7524,                  1.866,                 2.0749,              0.0092575,              0.0092575,              0.0092575
